team,league
Alaves,La Liga
Albacete,La Liga
Almeria,La Liga
Arsenal,EPL
Aston Villa,EPL
Ath Bilbao,La Liga
Ath Madrid,La Liga
Barcelona,La Liga
Barnsley,EPL
Betis,La Liga
Birmingham,EPL
Blackburn,EPL
Blackpool,EPL
Bolton,EPL
Bournemouth,EPL
Bradford,EPL
Brentford,EPL
Brighton,EPL
Burnley,EPL
Cadiz,La Liga
Cardiff,EPL
Celta,La Liga
Charlton,EPL
Chelsea,EPL
Compostela,La Liga
Cordoba,La Liga
Coventry,EPL
Crystal Palace,EPL
Derby,EPL
Eibar,La Liga
Elche,La Liga
Espanol,La Liga
Everton,EPL
Extremadura,La Liga
Fulham,EPL
Getafe,La Liga
Gimnastic,La Liga
Girona,La Liga
Granada,La Liga
Hercules,La Liga
Huddersfield,EPL
Huesca,La Liga
Hull,EPL
Ipswich,EPL
La Coruna,La Liga
Las Palmas,La Liga
Leeds,EPL
Leganes,La Liga
Leicester,EPL
Lerida,La Liga
Levante,La Liga
Liverpool,EPL
Logrones,La Liga
Luton,EPL
Malaga,La Liga
Mallorca,La Liga
Man City,EPL
Man United,EPL
Merida,La Liga
Middlesbrough,EPL
Murcia,La Liga
Newcastle,EPL
Norwich,EPL
Nott'm Forest,EPL
Numancia,La Liga
Oldham,EPL
Osasuna,La Liga
Oviedo,La Liga
Portsmouth,EPL
QPR,EPL
Reading,EPL
Real Madrid,La Liga
Recreativo,La Liga
Salamanca,La Liga
Santander,La Liga
Sevilla,La Liga
Sheffield United,EPL
Sheffield Weds,EPL
Sociedad,La Liga
Southampton,EPL
Sp Gijon,La Liga
Stoke,EPL
Sunderland,EPL
Swansea,EPL
Swindon,EPL
Tenerife,La Liga
Tottenham,EPL
Valencia,La Liga
Valladolid,La Liga
Vallecano,La Liga
Villareal,La Liga
Villarreal,La Liga
Watford,EPL
West Brom,EPL
West Ham,EPL
Wigan,EPL
Wimbledon,EPL
Wolves,EPL
Xerez,La Liga
Zaragoza,La Liga
