team,form_goals_for,form_goals_against
Abkhazia,1.8,0.7
Afghanistan,0.4,1.5
Albania,0.9,0.9
Alderney,0.9,3.2
Algeria,1.8,1.1
Ambazonia,0.5,2.8333333333333335
American Samoa,0.6,6.6
Andalusia,2.3,0.9
Andorra,0.5,1.6
Angola,1.4,1.1
Anguilla,0.8,2.8
Antigua and Barbuda,0.3,2.2
Arameans Suryoye,1.6,1.2
Argentina,3.1,0.4
Armenia,0.8,2.5
Artsakh,3.1,1.3
Aruba,1.5,1.9
Asturias,3.0,1.0
Australia,1.0,1.0
Austria,1.6,1.2
Aymara,0.5,2.0
Azerbaijan,1.2,2.1
Bahamas,1.2,3.9
Bahrain,0.9,1.7
Bangladesh,1.2,1.3
Barawa,1.4,3.8
Barbados,1.2,2.3
Basque Country,2.2,0.7
Belarus,1.3,2.1
Belgium,3.0,0.8
Belize,1.5,2.7
Benin,0.6,2.0
Bermuda,1.4,2.6
Bhutan,0.3,2.4
Biafra,0.6666666666666666,0.3333333333333333
Bolivia,0.7,2.1
Bonaire,0.8,2.2
Bosnia and Herzegovina,1.2,1.3
Botswana,0.6,1.8
Brazil,2.4,0.9
British Virgin Islands,1.7,1.5
Brittany,1.3,1.4
Brunei,0.4,2.4
Bulgaria,1.6,2.4
Burkina Faso,1.8,1.3
Burundi,0.6,1.4
Cambodia,1.7,1.5
Cameroon,1.0,0.7
Canada,1.6,0.9
Canary Islands,2.75,0.75
Cape Verde,1.1,1.4
Cascadia,3.2857142857142856,2.0
Catalonia,2.1,1.1
Cayman Islands,0.9,2.4
Central African Republic,0.7,2.1
Central Spain,1.0,2.0
Chad,0.8,2.1
Chagos Islands,1.5,5.6
Chameria,2.0,1.1428571428571428
Chechnya,1.0,9.666666666666666
Chile,1.4,1.6
China,0.8,1.2
Cilento,0.0,2.0
Colombia,1.7,0.8
Comoros,0.8,1.5
Congo,0.6,2.3
Cook Islands,0.5,3.3
Corsica,1.1111111111111112,0.5555555555555556
Costa Rica,1.1,1.9
County of Nice,2.111111111111111,1.4444444444444444
Crimea,1.4,2.2
Croatia,1.7,1.7
Cuba,1.0,1.9
Curaçao,1.5,2.1
Cyprus,1.6,1.5
Czech Republic,2.1,1.4
Czechoslovakia,2.1,0.9
DR Congo,1.2,0.8
Darfur,0.14285714285714285,14.142857142857142
Denmark,2.4,1.0
Djibouti,0.5,2.7
Dominica,0.7,1.8
Dominican Republic,1.0,1.6
Donetsk PR,1.3333333333333333,1.1666666666666667
Délvidék,2.0,1.5
East Turkestan,3.0,3.2
Ecuador,1.1,0.7
Egypt,1.2,0.7
El Salvador,0.5,1.4
Elba Island,4.5,1.0
Ellan Vannin,1.6,1.4
England,1.7,0.5
Equatorial Guinea,0.5,1.5
Eritrea,0.4,2.1
Estonia,1.0,1.8
Eswatini,0.7,2.4
Ethiopia,1.2,1.4
Falkland Islands,0.7,3.3
Faroe Islands,1.4,0.8
Felvidék,1.1,1.6
Fiji,0.7,2.8
Finland,1.1,1.7
France,2.6,0.8
Franconia,2.6666666666666665,3.6666666666666665
French Guiana,1.7,1.5
Frøya,1.3,3.9
Gabon,1.8,1.9
Galicia,1.3,2.1
Gambia,2.2,1.6
Georgia,1.4,1.8
German DR,1.9,1.3
Germany,3.1,1.0
Ghana,0.5,1.6
Gibraltar,1.4,1.9
Gotland,2.9,1.9
Gozo,2.6,1.4
Greece,1.2,1.6
Greenland,1.4,2.2
Grenada,1.7,2.1
Guadeloupe,1.5,1.1
Guam,1.4,2.8
Guatemala,1.0,2.4
Guernsey,2.3,1.0
Guinea,1.2,0.9
Guinea-Bissau,0.6,1.7
Guyana,2.6,1.2
Găgăuzia,0.6666666666666666,3.0
Haiti,1.1,1.5
Hitra,2.3,2.9
Hmong,2.0,3.3333333333333335
Honduras,0.8,0.8
Hong Kong,1.9,1.1
Hungary,1.7,1.2
Iceland,1.1,2.2
India,0.4,1.4
Indonesia,1.7,1.1
Iran,1.6,0.6
Iraq,0.7,1.9
Iraqi Kurdistan,2.3,0.9
Isle of Man,3.5,1.2
Isle of Wight,1.9,0.9
Israel,1.9,1.7
Italy,2.4,1.0
Ivory Coast,2.0,1.0
Jamaica,0.9,0.8
Japan,1.9,0.7
Jersey,2.7,1.0
Jordan,1.2,2.1
Kabylia,1.3333333333333333,2.5
Kazakhstan,1.1,1.4
Kenya,1.4,1.7
Kernow,2.7,0.9
Kiribati,0.7,10.2
Kosovo,1.4,1.1
Kurdistan,2.4,0.4
Kuwait,1.5,2.2
Kyrgyzstan,1.0,1.7
Kárpátalja,2.4,1.2
Laos,1.1,2.9
Latvia,0.5,1.4
Lebanon,2.1,0.5
Lesotho,0.7,1.9
Liberia,1.3,1.5
Libya,1.1,0.9
Liechtenstein,0.3,3.3
Lithuania,0.7,1.6
Luhansk PR,1.5,2.0
Luxembourg,0.2,1.5
Macau,0.3,2.8
Madagascar,1.7,1.9
Madrid,1.0,2.0
Malawi,0.9,0.9
Malaysia,1.9,0.6
Maldives,0.6,2.0
Mali,1.2,0.9
Malta,1.1,2.3
Manchukuo,0.0,5.333333333333333
Mapuche,1.5,1.0
Marshall Islands,1.0,3.5
Martinique,0.6,1.2
Matabeleland,0.875,1.75
Maule Sur,1.0,0.0
Mauritania,0.6,1.1
Mauritius,0.6,1.5
Mayotte,1.2,0.8
Menorca,1.8,1.2
Mexico,2.1,0.2
Micronesia,1.1428571428571428,8.428571428571429
Moldova,0.9,3.2
Monaco,1.3,2.9
Mongolia,0.5,2.4
Montenegro,1.3,2.0
Montserrat,0.6,2.0
Morocco,2.3,0.7
Mozambique,1.0,1.5
Myanmar,1.6,2.4
Namibia,0.7,1.6
Nepal,0.7,1.1
Netherlands,2.1,1.0
New Caledonia,2.3,1.0
New Zealand,1.0,2.3
Nicaragua,0.5,2.2
Niger,0.9,1.3
Nigeria,1.8,0.7
Niue,0.0,16.5
North Korea,1.0,2.1
North Macedonia,0.8,1.8
North Vietnam,2.5,1.5
Northern Cyprus,2.8,0.8
Northern Ireland,1.0,1.2
Northern Mariana Islands,1.0,4.4
Norway,2.3,1.4
Occitania,3.3,0.6
Oman,0.7,1.1
Orkney,1.9,1.8
Padania,2.5,0.9
Pakistan,0.8,1.5
Palau,2.0,10.5
Palestine,0.5,0.9
Panama,1.1,1.7
Panjab,3.0,1.4
Papua New Guinea,1.8,1.5
Paraguay,1.2,1.1
Parishes of Jersey,3.6666666666666665,1.3333333333333333
Peru,0.8,1.7
Philippines,2.9,1.1
Poland,1.7,1.3
Portugal,2.3,0.7
Provence,5.5,2.0
Puerto Rico,1.1,1.9
Qatar,0.6,1.9
Quebec,8.0,0.6666666666666666
Raetia,2.5,3.2
Republic of Ireland,1.6,0.8
Republic of St. Pauli,2.5,1.25
Rhodes,1.7,0.9
Romani people,1.8571428571428572,3.7142857142857144
Romania,1.6,1.5
Russia,1.9,0.7
Rwanda,0.8,1.2
Ryūkyū,0.0,9.0
Réunion,1.6,0.6
Saare County,1.6,2.1
Saarland,1.1111111111111112,2.888888888888889
Saint Barthélemy,2.5,3.0
Saint Helena,0.75,5.125
Saint Kitts and Nevis,2.1,2.7
Saint Lucia,0.9,3.1
Saint Martin,1.7,1.7
Saint Pierre and Miquelon,0.2857142857142857,11.142857142857142
Saint Vincent and the Grenadines,2.6,1.1
Samoa,1.2,3.0
San Marino,0.5,3.7
Sark,0.0,17.5
Saudi Arabia,0.8,1.5
Saugeais,1.0,1.0
Scotland,1.7,1.3
Sealand,2.4,2.5
Seborga,2.0,3.0
Senegal,1.8,1.6
Serbia,0.9,2.2
Seychelles,0.2,5.3
Shetland,1.8,2.0
Sierra Leone,1.1,1.1
Silesia,3.0,2.125
Singapore,1.9,1.3
Sint Maarten,1.3,2.2
Slovakia,1.5,1.5
Slovenia,0.8,1.4
Solomon Islands,1.6,2.9
Somalia,0.4,1.7
Somaliland,2.3333333333333335,3.3333333333333335
South Africa,0.9,1.1
South Korea,1.3,0.8
South Ossetia,1.3,2.2
South Sudan,0.6,2.0
South Yemen,0.3333333333333333,2.6666666666666665
Spain,2.1,0.4
Sri Lanka,0.9,1.5
Sudan,0.5,1.7
Suriname,1.3,1.4
Surrey,3.0,1.0
Sweden,1.8,2.3
Switzerland,2.2,1.1
Syria,2.0,0.9
Székely Land,2.1,2.2
Sápmi,1.1,2.0
São Tomé and Príncipe,0.6,2.1
Tahiti,1.2,1.4
Taiwan,1.4,2.9
Tajikistan,2.2,1.1
Tamil Eelam,2.7,1.3
Tanzania,1.2,1.4
Thailand,2.3,0.9
Tibet,1.6,4.1
Ticino,1.0,6.5
Timor-Leste,0.6,3.5
Togo,1.2,1.1
Tonga,1.2,4.5
Trinidad and Tobago,1.0,2.3
Tunisia,0.7,2.3
Turkey,1.9,0.9
Turkmenistan,1.6,1.4
Turks and Caicos Islands,0.9,1.8
Tuvalu,1.3,5.6
Two Sicilies,0.5,3.0
Uganda,1.4,1.5
Ukraine,1.5,1.6
United Arab Emirates,1.2,1.4
United Koreans in Japan,1.9,0.8
United States,2.3,1.7
United States Virgin Islands,1.5,2.0
Uruguay,0.8,1.1
Uzbekistan,1.0,1.8
Vanuatu,1.6,2.2
Vatican City,0.75,2.625
Venezuela,1.1,1.7
Vietnam,2.4,1.0
Vietnam Republic,1.0,2.0
Wales,1.5,1.4
Wallis Islands and Futuna,0.7,5.8
West Papua,1.5,4.5
Western Armenia,2.0,1.3
Western Australia,1.4,1.7
Western Isles,1.1,1.9
Western Sahara,1.7777777777777777,4.222222222222222
Yemen,2.8,1.0
Yemen DPR,1.0,2.4
Ynys Môn,2.1,1.0
Yorkshire,3.857142857142857,1.5714285714285714
Yoruba Nation,0.5,1.0
Yugoslavia,2.1,1.3
Zambia,0.5,2.3
Zanzibar,1.3,0.8
Zimbabwe,1.1,1.3
Åland Islands,0.8,1.4
